request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_214,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 69,750.00 request."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting 9 May 2025."
request_216,823.45,affordable_later,wait,2026-08-15:3332.4,2026-08-15,none,"Pay USD 3,332.40 in full on 15 August 2026."
request_217,28043.45,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Use 3 installments of ZAR 12,889.07, starting 19 March 2024."
request_218,33200149.71,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,"Use 3 installments of IDR 21,195,893.33, starting 7 August 2025."
request_219,880.6,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026."
request_220,249.32,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,118.50 request."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800.00 today. This leaves at least INR 81,500.00 available over the next 90 days."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078.00 today. This leaves at least ZAR 27,300.00 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800.00 available over the next 90 days.
request_224,10327000.0,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5,370,040.00, starting 4 February 2025."
request_225,16020713.3,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-07-15,none,"Use 3 installments of IDR 7,647,120.00, starting 20 July 2026."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000.00 today. This leaves at least INR 209,400.00 available over the next 90 days."
request_227,33731.08,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259,700.00 request."
request_228,10104200.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63,327,000.00 request."
request_229,593.09,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000.00 available over the next 90 days."
request_231,35706.0,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,"Use 3 installments of ZAR 12,378.08, starting 6 January 2026."
request_232,1636.6,affordable_later,wait,2024-06-15:1970.1,2024-06-15,none,"Pay EUR 1,970.10 in full on 15 June 2024."
request_233,6241000.0,affordable_with_plan,installments,2025-11-14:3245320|2025-12-15:3245320,2025-11-07,none,"Use 2 installments of IDR 3,245,320.00, starting 14 November 2025."
request_234,400.58,affordable_later,wait,2026-08-15:1213.3,2026-08-15,none,"Pay EUR 1,213.30 in full on 15 August 2026."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700.00 available over the next 90 days.
request_236,11764210.03,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,383,000.00 request."
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000.00 today. This leaves at least IDR 22,431,500.00 available over the next 90 days."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024."
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642.00 today. This leaves at least USD 600.00 available over the next 90 days.
request_240,36110.0,affordable_with_plan,partial_payment,2026-01-06:36110.00|2026-02-15:65090.00,2026-02-15,none,"Pay INR 36,110.00 today and remaining INR 65,090.00 on 2026-02-15."
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 17 March 2024."
request_242,274.39,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,966.80 request."
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468.00 today. This leaves at least ZAR 19,900.00 available over the next 90 days."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918.00 today. This leaves at least ZAR 45,900.00 available over the next 90 days."
request_245,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 128,500.00 request."
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 3 April 2026."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300.00 available over the next 90 days."
request_248,1494.36,affordable_with_plan,partial_payment,2025-02-07:1494.36|2025-02-24:471.24,2025-02-24,none,"Pay USD 1,494.36 today and remaining USD 471.24 on 2025-02-24."
request_249,253.55,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,Pay USD 643.20 in full on 15 March 2026.
request_250,25341.28,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 124,278.00 request."
request_251,1513.6,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,513.60 request."
request_252,7115049.1,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,"Pay IDR 28,082,000.00 in full on 15 August 2026."
request_253,2041.57,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-04-15,none,"Use 3 installments of EUR 984.60, starting 21 March 2024."
request_254,1444.68,affordable_later,wait,2025-08-15:3535.2,2025-08-15,none,"Pay USD 3,535.20 in full on 15 August 2025."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000.00 today. This leaves at least IDR 9,813,900.00 available over the next 90 days."
request_256,207975.52,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,"Use 3 installments of INR 75,816.00, starting 10 June 2024."
request_257,813.13,affordable_later,wait,2025-12-15:1352.4,2025-12-15,none,"Pay USD 1,352.40 in full on 15 December 2025."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500.00 available over the next 90 days."
request_259,339.96,affordable_later,wait,2024-10-15:935,2024-10-15,none,Pay EUR 935.00 in full on 15 October 2024.
request_260,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,079,000.00 request."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500.00 available over the next 90 days."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000.00 today. This leaves at least IDR 31,018,500.00 available over the next 90 days."
request_263,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,546.00 request."
request_264,30923.34,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Pay INR 111,300.00 in full on 15 June 2026."
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Pay INR 45,970.00 today. This leaves at least INR 189,700.00 available over the next 90 days."
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments of EUR 324.13, starting 3 August 2025."
request_267,1907.62,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,"Use 3 installments of EUR 667.33, starting 8 January 2026."
request_268,1498.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-06-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024."
request_269,15490.0,affordable_now,full_payment,2025-11-04:15490,2025-11-04,none,"Pay ZAR 15,490.00 today. This leaves at least ZAR 23,100.00 available over the next 90 days."
request_270,327.68,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,028.80 request."
request_271,48655.5,affordable_later,wait,2024-09-20:91300,2024-09-20,none,"Pay INR 91,300.00 in full on 20 September 2024."
request_272,7746558.12,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,"Use 3 installments of IDR 4,709,466.67, starting 12 February 2025."
request_273,12228400.0,affordable_with_plan,partial_payment,2026-04-07:12228400.00|2026-04-15:3632600.00,2026-04-15,none,"Pay IDR 12,228,400.00 today and remaining IDR 3,632,600.00 on 2026-04-15."
request_274,2713.7,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-04,none,"Use 3 installments of EUR 940.75, starting 4 December 2024."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000.00 today. This leaves at least IDR 12,760,100.00 available over the next 90 days."
